path,model_name,task,adapter_type,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,target_suffixes_json,scaling_mode,grouping_mode,learning_rate,max_length,warmup_ratio,seed,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_score,train_time_s
wandb_stage1_new/offline-run-20260314_085440-jzgjjbbj/run-jzgjjbbj.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,256,0.05,0,1708032,1703936,1703936,0.7958715596330275,733.8125479221344
wandb_stage1_new/offline-run-20260314_085441-j5h564xd/run-j5h564xd.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,256,0.0,0,1708032,1703936,1703936,0.75,694.0356967449188
wandb_stage1_new/offline-run-20260314_085447-bj5da015/run-bj5da015.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,128,0.0,0,1708032,1703936,1703936,0.9415137614678899,730.9440717697144
wandb_stage1_new/offline-run-20260314_085451-dqn90ka7/run-dqn90ka7.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,256,0.0,0,1708032,1703936,1703936,0.9243119266055045,681.15798163414
wandb_stage1_new/offline-run-20260314_085455-ksf1t4u1/run-ksf1t4u1.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,128,0.0,0,1708032,1703936,1703936,0.9518348623853211,781.9119985103607
wandb_stage1_new/offline-run-20260314_085455-sl11gttk/run-sl11gttk.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.05,0,1708032,1703936,1703936,0.9380733944954128,703.6086196899414
wandb_stage1_new/offline-run-20260314_085542-dtbw3trw/run-dtbw3trw.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.0,0,1708032,1703936,1703936,0.9415137614678899,650.3781280517578
wandb_stage1_new/offline-run-20260314_085542-n7weiaaj/run-n7weiaaj.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,128,0.05,0,1708032,1703936,1703936,0.9277522935779816,657.0576243400574
wandb_stage1_new/offline-run-20260314_085544-nytja5jp/run-nytja5jp.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,256,0.0,0,1708032,1703936,1703936,0.75,626.1864535808563
wandb_stage1_new/offline-run-20260314_085555-41b4n59n/run-41b4n59n.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,128,0.0,0,1708032,1703936,1703936,0.75,625.5388143062592
wandb_stage1_new/offline-run-20260314_085602-rps7keyn/run-rps7keyn.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,256,0.0,0,1708032,1703936,1703936,0.9243119266055045,637.5861659049988
wandb_stage1_new/offline-run-20260314_085605-547b47l3/run-547b47l3.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,128,0.05,0,1708032,1703936,1703936,0.9380733944954128,621.6915156841278
wandb_stage1_new/offline-run-20260314_085606-3xeym91h/run-3xeym91h.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,256,0.05,0,1708032,1703936,1703936,0.7958715596330275,650.6459345817566
wandb_stage1_new/offline-run-20260314_085606-g9qcmiah/run-g9qcmiah.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,128,0.05,0,1708032,1703936,1703936,0.7958715596330275,609.0580430030823
wandb_stage1_new/offline-run-20260314_085626-hz86paip/run-hz86paip.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,128,0.0,0,1708032,1703936,1703936,0.75,585.8294398784637
wandb_stage1_new/offline-run-20260314_085626-t4l57xeo/run-t4l57xeo.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,256,0.0,0,1708032,1703936,1703936,0.9415137614678899,663.9454112052917
wandb_stage1_new/offline-run-20260314_085629-b8l3pijo/run-b8l3pijo.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,128,0.05,0,1708032,1703936,1703936,0.7958715596330275,590.4748456478119
wandb_stage1_new/offline-run-20260314_085634-g4vss73v/run-g4vss73v.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,256,0.05,0,1708032,1703936,1703936,0.9380733944954128,651.5877766609192
wandb_stage1_new/offline-run-20260314_085635-xstsxxfk/run-xstsxxfk.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,128,0.0,0,1708032,1703936,1703936,0.9243119266055045,580.9231750965118
wandb_stage1_new/offline-run-20260314_085636-aen1dq2c/run-aen1dq2c.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,256,0.05,0,1708032,1703936,1703936,0.9277522935779816,581.0507607460022
wandb_stage1_new/offline-run-20260314_085638-bu4ubnpy/run-bu4ubnpy.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.0,0,1708032,1703936,1703936,0.9243119266055045,578.9345371723175
wandb_stage1_new/offline-run-20260314_085652-4gy00jb0/run-4gy00jb0.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.05,0,1708032,1703936,1703936,0.9277522935779816,584.8044097423553
wandb_stage1_new/offline-run-20260314_085722-ml2pmv45/run-ml2pmv45.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,256,0.05,0,1708032,1703936,1703936,0.9277522935779816,580.4228317737579
wandb_stage1_new/offline-run-20260314_085724-w5890d0a/run-w5890d0a.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,256,0.05,0,1708032,1703936,1703936,0.9380733944954128,623.0747890472412
wandb_stage1_new/offline-run-20260314_085739-5ek7wi5x/run-5ek7wi5x.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,256,0.0,0,1708032,1703936,1703936,0.9415137614678899,585.6395673751831
wandb_stage1_new/offline-run-20260314_085742-wpj5wusg/run-wpj5wusg.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,256,0.05,0,1708032,1703936,1703936,0.9495412844036697,678.8858690261841
wandb_stage1_new/offline-run-20260314_085812-etzzma9j/run-etzzma9j.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,256,0.0,0,1708032,1703936,1703936,0.9518348623853211,667.3653109073639
wandb_stage1_new/offline-run-20260314_085851-1kikih8f/run-1kikih8f.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,128,0.05,0,1708032,1703936,1703936,0.9495412844036697,632.588485956192
wandb_stage1_new/offline-run-20260314_085851-f7gabfld/run-f7gabfld.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,256,0.0,0,1708032,1703936,1703936,0.9518348623853211,597.1082811355591
wandb_stage1_new/offline-run-20260314_085931-5gj8kwm0/run-5gj8kwm0.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,128,0.0,0,1708032,1703936,1703936,0.9518348623853211,619.9156107902527
wandb_stage1_new/offline-run-20260314_085950-uwdyhfwa/run-uwdyhfwa.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,128,0.05,0,1708032,1703936,1703936,0.9495412844036697,589.3574464321136
wandb_stage1_new/offline-run-20260314_090018-3dox2wuf/run-3dox2wuf.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,256,0.05,0,1708032,1703936,1703936,0.9495412844036697,600.6608738899231
wandb_stage1_new/offline-run-20260314_090905-qkfosdn3/run-qkfosdn3.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.05,0,1134592,1130496,1130496,0.768348623853211,858.877690076828
wandb_stage1_new/offline-run-20260314_090947-vzbkk6us/run-vzbkk6us.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,256,0.05,0,1134592,1130496,1130496,0.5309633027522935,841.9512746334076
wandb_stage1_new/offline-run-20260314_090956-1l109dn8/run-1l109dn8.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,256,0.05,0,1134592,1130496,1130496,0.5309633027522935,839.7437648773193
wandb_stage1_new/offline-run-20260314_091007-awuorlkq/run-awuorlkq.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,256,0.05,0,1134592,1130496,1130496,0.768348623853211,773.0289297103882
wandb_stage1_new/offline-run-20260314_091007-emgl7n0c/run-emgl7n0c.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,128,0.05,0,1134592,1130496,1130496,0.5309633027522935,834.6090915203094
wandb_stage1_new/offline-run-20260314_091013-sjgssocr/run-sjgssocr.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,128,0.0,0,1134592,1130496,1130496,0.6972477064220184,787.0134522914886
wandb_stage1_new/offline-run-20260314_091015-84i6yhof/run-84i6yhof.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,256,0.0,0,1134592,1130496,1130496,0.5034403669724771,791.6020185947418
wandb_stage1_new/offline-run-20260314_091022-c80mk1y5/run-c80mk1y5.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,128,0.0,0,1134592,1130496,1130496,0.5034403669724771,757.5724482536316
wandb_stage1_new/offline-run-20260314_091029-3n1nqxan/run-3n1nqxan.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,128,0.05,0,1134592,1130496,1130496,0.930045871559633,796.3891825675964
wandb_stage1_new/offline-run-20260314_091045-zxw372hq/run-zxw372hq.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.05,0,1134592,1130496,1130496,0.930045871559633,797.0183727741241
wandb_stage1_new/offline-run-20260314_091101-4uzkploa/run-4uzkploa.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,128,0.0,0,1134592,1130496,1130496,0.6972477064220184,733.2893512248993
wandb_stage1_new/offline-run-20260314_091101-udthkrd6/run-udthkrd6.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,256,0.0,0,1134592,1130496,1130496,0.5034403669724771,713.1050655841827
wandb_stage1_new/offline-run-20260314_091129-o9ie9y3w/run-o9ie9y3w.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,1e-05,128,0.0,0,1134592,1130496,1130496,0.5034403669724771,724.0284922122955
wandb_stage1_new/offline-run-20260314_091142-qdvg0s3h/run-qdvg0s3h.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,256,0.05,0,1134592,1130496,1130496,0.930045871559633,740.8590207099915
wandb_stage1_new/offline-run-20260314_091143-oetoh9wg/run-oetoh9wg.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,128,0.05,0,1134592,1130496,1130496,0.768348623853211,707.1281642913818
wandb_stage1_new/offline-run-20260314_091146-wp50acu5/run-wp50acu5.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,256,0.05,0,1134592,1130496,1130496,0.768348623853211,718.4567828178406
wandb_stage1_new/offline-run-20260314_091150-sv2qzeoe/run-sv2qzeoe.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,2e-05,256,0.0,0,1134592,1130496,1130496,0.6972477064220184,716.7645847797394
wandb_stage1_new/offline-run-20260314_091201-bmlfjkwn/run-bmlfjkwn.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,128,0.0,0,1134592,1130496,1130496,0.9357798165137615,739.5079967975616
wandb_stage1_new/offline-run-20260314_091202-dzd475re/run-dzd475re.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,256,0.0,0,1134592,1130496,1130496,0.9415137614678899,861.3843004703522
wandb_stage1_new/offline-run-20260314_091202-nllwnglr/run-nllwnglr.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,128,0.0,0,1134592,1130496,1130496,0.9357798165137615,676.3506083488464
wandb_stage1_new/offline-run-20260314_091206-96uq65xe/run-96uq65xe.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,2e-05,256,0.0,0,1134592,1130496,1130496,0.6972477064220184,681.7054054737091
wandb_stage1_new/offline-run-20260314_091215-6uq7f4e3/run-6uq7f4e3.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,128,0.05,0,1134592,1130496,1130496,0.5309633027522935,679.9797041416168
wandb_stage1_new/offline-run-20260314_091218-dy5crk66/run-dy5crk66.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,256,0.05,0,1134592,1130496,1130496,0.930045871559633,747.6057085990906
wandb_stage1_new/offline-run-20260314_091227-zigh5e1g/run-zigh5e1g.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,128,0.0,0,1134592,1130496,1130496,0.9415137614678899,746.2256007194519
wandb_stage1_new/offline-run-20260314_091233-m99jkw8r/run-m99jkw8r.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,256,0.0,0,1134592,1130496,1130496,0.9357798165137615,695.729574918747
wandb_stage1_new/offline-run-20260314_091259-c0wlnd2j/run-c0wlnd2j.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,5e-05,256,0.0,0,1134592,1130496,1130496,0.9357798165137615,716.7267928123474
wandb_stage1_new/offline-run-20260314_091317-f5bufmu5/run-f5bufmu5.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,256,0.05,0,1134592,1130496,1130496,0.9369266055045872,858.0914096832275
wandb_stage1_new/offline-run-20260314_091432-g8oxqz9f/run-g8oxqz9f.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,256,0.0,0,1134592,1130496,1130496,0.9415137614678899,691.7200717926025
wandb_stage1_new/offline-run-20260314_091436-5kta2del/run-5kta2del.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,256,0.05,0,1134592,1130496,1130496,0.9369266055045872,681.2349097728729
wandb_stage1_new/offline-run-20260314_091438-uimyc6w3/run-uimyc6w3.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,0.0001,128,0.05,0,1134592,1130496,1130496,0.9369266055045872,697.5478940010071
wandb_stage1_new/offline-run-20260314_091438-y4naiuhk/run-y4naiuhk.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,128,0.0,0,1134592,1130496,1130496,0.9415137614678899,727.9143569469452
wandb_stage1_new/offline-run-20260314_091545-93ht4mb4/run-93ht4mb4.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,0.0001,128,0.05,0,1134592,1130496,1130496,0.9369266055045872,704.5019781589508
wandb_stage1_new/offline-run-20260314_092615-3z8cybhs/run-3z8cybhs.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,4,4,block_a,attn_only,"[""q_proj"", ""v_proj""]",standard,contiguous,1e-05,256,0.0,0,1216512,1212416,1212416,0.555045871559633,819.5289719104767
wandb_stage1_new/offline-run-20260314_092641-80iudf5x/run-80iudf5x.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,4,4,block_a,attn_only,"[""q_proj"", ""v_proj""]",rs,contiguous,5e-05,256,0.0,0,1216512,1212416,1212416,0.9346330275229358,880.2897462844849
